SYMBOL
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
SBIN
ITC
LT
AXISBANK
KOTAKBANK
BAJFINANCE
BHARTIARTL
ASIANPAINT
MARUTI
SUNPHARMA
TITAN
ULTRACEMCO
NESTLEIND
POWERGRID
NTPC
ONGC
ADANIPORTS
ADANIENT
TATAMOTORS
TATASTEEL
JSWSTEEL
HINDUNILVR
WIPRO
TECHM
HCLTECH
GRASIM
BAJAJFINSV
EICHERMOT
HEROMOTOCO
DRREDDY
CIPLA
DIVISLAB
INDUSINDBK
BPCL
COALINDIA
BRITANNIA
SHRIRAMFIN
PIDILITIND
APOLLOHOSP
SBILIFE
HDFCLIFE
ICICIPRULI
DLF
BEL
LODHA
